metric,value
stage,Stage 12.5
test_name,publisher_construction_no_publish_freeze
stage120_pass,True
stage121_pass,True
stage122_pass,True
stage123_pass,True
stage124_pass,True
freeze_file_count,24
missing_file_count,0
current_source_has_create_publisher,True
current_source_has_publish_call,False
current_source_references_torque_topic,True
current_source_has_active_publisher_member,True
current_source_has_stage124_marker,True
runtime_observation_row_count,6
runtime_observation_publishers_positive_all_rows,True
runtime_observation_subscribers_positive_all_rows,True
runtime_observation_returncode_zero_all_rows,True
publisher_construction_no_publish_integrity_passed,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g2_no_publisher_construction,False
g3_no_publish_call,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,True
g22_publisher_construction_implemented_without_publish_call,True
g23_publisher_construction_no_publish_freeze_passed,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage125,False
stage12_scope,publisher_construction_no_publish_freeze_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,76
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_publisher_construction_no_publish_freeze_log.csv
hash_csv,results/logs_sample/stage12_publisher_construction_no_publish_freeze_hashes.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage125.csv
summary_csv,results/logs_sample/stage12_publisher_construction_no_publish_freeze_summary.csv
doc,docs/STAGE12_PUBLISHER_CONSTRUCTION_NO_PUBLISH_FREEZE.md
