check,value,expected,pass,detail
stage121_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_pre_construction_source_runtime_guard_summary.csv
stage121_pass,True,True,True,
stage121_pre_construction_source_runtime_guard_passed,True,True,True,
stage121_torque_publishers_zero_all_samples,True,True,True,
stage121_g20_pre_construction_source_runtime_guard_passed,True,True,True,
stage121_manual_enable_active,False,False,True,
stage121_active_ros_publisher_path_exists,False,False,True,
stage121_torque_enable_ready,False,False,True,
stage121_torque_publisher_enabled,False,False,True,
stage121_control_law_changed,False,False,True,
stage120_plan_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_active_publisher_construction_plan.csv
stage120_plan_has_future_topic,True,True,True,
stage120_plan_separates_construction_and_publish_call,True,True,True,
stage120_plan_has_abort_conditions,True,True,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
stage121_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage121.csv
stage121_gate_g8_false,False,False,True,
stage121_gate_g9_false,False,False,True,
stage121_gate_g20_true,True,True,True,
publisher_construction_source_patch_design_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_source_patch_design.csv
patch_design_all_items_not_applied,True,True,True,
patch_design_has_future_publisher_member,True,True,True,
patch_design_has_future_create_publisher_call,True,True,True,
patch_design_forbids_publish_call_in_construction_stage,True,True,True,
patch_design_requires_runtime_recheck,True,True,True,
patch_design_has_abort_policy,True,True,True,
source_unchanged_by_stage122,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,False,False,True,
torque_enable_ready,False,False,True,
publisher_construction_source_patch_design_complete,True,True,True,
