metric,value
stage,Stage 12.2
test_name,publisher_construction_source_patch_design_only
stage121_pass,True
stage121_pre_construction_source_runtime_guard_passed,True
stage121_g20_pre_construction_source_runtime_guard_passed,True
stage121_torque_publishers_zero_all_samples,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
dormant_publisher_path_source_skeleton_exists,True
source_unchanged_by_stage122,True
publisher_construction_source_patch_design_exists,True
patch_design_all_items_not_applied,True
patch_design_has_future_publisher_member,True
patch_design_has_future_create_publisher_call,True
patch_design_forbids_publish_call_in_construction_stage,True
patch_design_requires_runtime_recheck,True
patch_design_has_abort_policy,True
publisher_construction_source_patch_design_complete,True
manual_enable_active,False
active_ros_publisher_path_exists,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g21_publisher_construction_source_patch_design_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage122,False
stage12_scope,publisher_construction_source_patch_design_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,42
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_publisher_construction_source_patch_design_log.csv
design_csv,results/logs_sample/stage12_publisher_construction_source_patch_design.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage122.csv
summary_csv,results/logs_sample/stage12_publisher_construction_source_patch_design_summary.csv
doc,docs/STAGE12_PUBLISHER_CONSTRUCTION_SOURCE_PATCH_DESIGN_ONLY.md
