check,value,expected,pass,detail
stage123_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_construction_stage_preflight_freeze_summary.csv
stage123_pass,True,True,True,
stage123_construction_stage_preflight_frozen,True,True,True,
stage123_g8_manual_enable_active,False,False,True,
stage123_g9_active_ros_publisher_path_exists,False,False,True,
stage123_torque_enable_ready,False,False,True,
stage123_torque_publisher_enabled,False,False,True,
stage123_control_law_changed,False,False,True,
stage122_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage122.csv
stage122_gate_g8_false,False,False,True,
stage122_gate_g9_false,False,False,True,
stage122_gate_g21_true,True,True,True,
pre_patch_source_has_no_create_publisher,False,False,True,
pre_patch_source_has_no_publish_call,False,False,True,
pre_patch_source_does_not_reference_torque_topic,False,False,True,
source_patch_applied,True,True,True,
source_changed_only_by_stage124,True,True,True,
post_source_has_create_publisher,True,True,True,
post_source_has_publish_call,False,False,True,
post_source_references_torque_topic,True,True,True,
post_source_has_active_publisher_member,True,True,True,
post_source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
colcon_build_returncode,0,0,True,
bridge_alive_after_startup,True,True,True,
disabled_controller_alive_after_startup,True,True,True,
enable_param_get_returncode,0,0,True,
confirm_param_get_returncode,0,0,True,
enable_param_default_false,True,True,True,"Boolean value is: False
"
confirm_param_default_false,True,True,True,"Boolean value is: False
"
runtime_sample_count,6,6,True,
topic_info_all_returncode_zero,True,True,True,
torque_publishers_positive_all_samples,True,True,True,
torque_subscribers_positive_all_samples,True,True,True,
publisher_construction_implemented_without_publish_call,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
