step,contact_mode,px,py,pz,vx,vy,vz,status,solve_time,u0_FR_fx,u0_FR_fy,u0_FR_fz,u0_FL_fx,u0_FL_fy,u0_FL_fz,u0_RR_fx,u0_RR_fy,u0_RR_fz,u0_RL_fx,u0_RL_fy,u0_RL_fz,sum_fx,sum_fy,sum_fz,max_swing_force_norm,min_stance_fz,max_stance_fz,max_friction_violation,total_fz_upper_violation,force_delta_norm
0,FR_RL,0.0,0.0,0.28,0.0,0.0,0.0,solved,0.022172865,47.36484387339189,0.0,78.94140647967987,-1.7292053042602472e-11,0.0,3.1686859255603954e-12,-1.7292053042602472e-11,0.0,3.1686859254261725e-12,47.36484387339,0.0,78.94140647967659,94.7296877467473,0.0,157.8828129593628,1.7579979207127124e-11,78.94140647967659,78.94140647967987,0.0,0.0,130.19350284972353
1,FR_RL,0.0,0.0,0.28,0.1578828129112455,0.0,0.066938021598938,solved,0.014832916,39.90070139729396,0.0,66.50116901173212,-8.172700807509389e-12,0.0,-2.6778459673136556e-11,-8.172700807509389e-12,0.0,-2.677845967323256e-11,39.90070139729163,0.0,66.50116901172834,79.80140279456924,0.0,133.0023380234069,2.7997838147971483e-11,66.50116901172834,66.50116901173212,0.0,0.0,20.51696523184801
2,FR_RL,0.00315765625822491,0.0,0.2813387604319788,0.29088515090219424,0.0,0.09240858497128283,solved,0.014723905999999998,16.86200780560239,0.0,55.18680524077511,2.3056275683620056e-19,0.0,-1.2542793959134594e-11,2.3056275683620056e-19,0.0,-1.2542793925616934e-11,16.86200780560085,0.0,55.18680524077615,33.72401561120324,0.0,110.37361048152619,1.2542793959134596e-11,55.18680524077511,55.18680524077615,0.0,0.0,36.298656447679214
3,FR_RL,0.008975359276268795,0.0,0.28318693213140445,0.347091843587533,0.0,0.08016460244049313,solved,0.014143344,2.7665232203065404,0.0,53.87307805046614,1.19374263170347e-20,0.0,-2.7852658008764327e-11,1.19374263170347e-20,0.0,-2.785265801934446e-11,2.7665232203054075,0.0,53.87307805047113,5.5330464406119475,0.0,107.74615610088156,2.785265801934446e-11,53.87307805046614,53.87307805047113,0.0,0.0,20.020417819059578
4,FR_RL,0.015917196148019452,0.0,0.2847902241802143,0.35631358765521953,0.0,0.06354152927529573,solved,0.013148991,-0.8872148852148588,0.0,55.63156332303539,-4.983834385363581e-19,0.0,-4.7575153223130573e-11,-4.983834385363581e-19,0.0,-4.757515322485401e-11,-0.8872148852156808,0.0,55.63156332304641,-1.7744297704305396,0.0,111.26312664598663,4.757515322485401e-11,55.63156332303539,55.63156332304641,0.0,0.0,5.734469914053349
5,FR_RL,0.023043467901123844,0.0,0.28606105476572025,0.35335620470450196,0.0,0.052780073685273446,solved,0.012523729,-0.7781862486826089,0.0,57.97439894641505,1.5110061163272761e-19,0.0,-3.854662075444653e-11,1.5110061163272761e-19,0.0,-3.8546620754493524e-11,-0.7781862486831925,0.0,57.974398946425175,-1.5563724973658015,0.0,115.94879789276314,3.8546620754493524e-11,57.97439894641505,57.974398946425175,0.0,0.0,3.3168557405346366
6,FR_RL,0.030110591995213883,0.0,0.2871166562394257,0.35076225054222565,0.0,0.049828070173212,solved,0.014080817999999998,-0.25169216903425184,0.0,60.663760309454624,-1.2000239629984144e-20,0.0,-8.748934685588284e-12,-1.2000239629984144e-20,0.0,-8.748934690055132e-12,-0.2516921690348636,0.0,60.66376030946647,-0.5033843380691154,0.0,121.3275206189036,8.748934690055132e-12,60.663760309454624,60.66376030946647,0.0,0.0,3.875528494778345
7,FR_RL,0.0371258370060584,0.0,0.28811321764288994,0.3499232766454438,0.0,0.055840604538051335,solved,0.013282734000000001,-0.01733115127908331,0.0,63.1261119403919,2.4891189462204706e-19,0.0,-1.8027953635052225e-09,2.4891189462204706e-19,0.0,-1.8027953634853175e-09,-0.01733115127949919,0.0,63.126111940398495,-0.034662302558582506,0.0,126.2522238771848,1.8027953635052225e-09,63.1261119403919,63.126111940398495,0.0,0.0,3.498028199145863
8,FR_RL,0.04412430253896728,0.0,0.289230029733651,0.3498655061411795,0.0,0.07006097766669267,solved,0.012399638000000001,0.025057429474795223,0.0,61.49237760419081,6.555855598936356e-19,0.0,-1.6768887212333224e-09,6.555855598936356e-19,0.0,-1.676888721238041e-09,0.025057429474491178,0.0,61.49237760419628,0.0501148589492864,0.0,122.98475520503331,1.676888721238041e-09,61.49237760419081,61.49237760419628,0.0,0.0,2.3112268054271943
9,FR_RL,0.05112161266179087,0.0,0.2906312492869848,0.34994903090609497,0.0,0.07883556967508153,solved,0.013108891999999999,0.014206498799912762,0.0,45.62719635166584,-2.060557675364396e-20,0.0,1.2086775810926344e-11,-4.305176302967407e-22,0.0,1.2086776370588728e-11,0.014206498799813254,0.0,45.62719635167004,0.028412997599726014,0.0,91.25439270336005,1.2086776370588728e-11,45.62719635166584,45.62719635167004,0.0,0.0,22.436759744588187
10,FL_RR,0.05812059327991277,0.0,0.29220796068048643,0.34999638590209453,0.0,0.03472622418068161,solved,0.012687379,-9.995501375684412e-20,0.0,-6.99043800705793e-11,0.0007137481484099106,0.0,45.64316664074988,0.0007137481483970846,0.0,45.643166640748504,-9.99074186721482e-20,0.0,-6.990438036898932e-11,0.001427496296806995,0.0,91.28633328135858,6.990438036898932e-11,45.643166640748504,45.64316664074988,0.0,0.0,91.27036660656272
11,FL_RR,0.06512052099795466,0.0,0.29290248516410006,0.3499987650625892,0.0,-0.009329887017054103,solved,0.013720749,-1.3434990027411065e-19,0.0,-1.1185319622046343e-09,0.0003366802276607778,0.0,61.30231715729836,0.00033668022766075213,0.0,61.30231715729686,-1.3434990027411065e-19,0.0,-1.118531962214301e-09,0.0006733604553215297,0.0,122.60463431235816,1.118531962214301e-09,61.30231715729686,61.30231715729836,0.0,0.0,22.14538304216474
