step,FR_fx,FR_fy,FR_fz,FL_fx,FL_fy,FL_fz,RR_fx,RR_fy,RR_fz,RL_fx,RL_fy,RL_fz,FR_hip_tau_candidate,FR_thigh_tau_candidate,FR_calf_tau_candidate,FL_hip_tau_candidate,FL_thigh_tau_candidate,FL_calf_tau_candidate,RR_hip_tau_candidate,RR_thigh_tau_candidate,RR_calf_tau_candidate,RL_hip_tau_candidate,RL_thigh_tau_candidate,RL_calf_tau_candidate,force_total_norm,tau_abs_max,torque_limit_violation
0,47.3648438734,0,78.9414064797,-1.72920530426e-11,0,3.16868592556e-12,-1.72920530426e-11,0,3.16868592543e-12,47.3648438734,0,78.9414064797,-6.31531251837,-12.5424875754,-19.4425094473,2.53494874045e-13,4.57903674338e-12,1.76082746056e-12,-2.53494874034e-13,4.57903674338e-12,1.76082746059e-12,6.31531251837,-12.5424875754,-19.4425094473,130.19350285,19.4425094473,False
1,39.9007013973,0,66.5011690117,-8.17270080751e-12,0,-2.67784596731e-11,-8.17270080751e-12,0,-2.67784596732e-11,39.9007013973,0,66.5011690117,-5.32009352094,-10.5659390088,-16.3785985638,-2.14227677385e-12,2.16417895539e-12,5.55003883455e-12,2.14227677386e-12,2.16417895539e-12,5.55003883456e-12,5.32009352094,-10.5659390088,-16.3785985638,109.676537618,16.3785985638,False
2,16.8620078056,0,55.1868052408,2.30562756836e-19,0,-1.25427939591e-11,2.30562756836e-19,0,-1.25427939256e-11,16.8620078056,0,55.1868052408,-4.41494441926,-4.46515825037,-11.4404220703,-1.00342351673e-12,-6.10543659915e-20,2.09274797988e-12,1.00342351405e-12,-6.10543659915e-20,2.09274797429e-12,4.41494441926,-4.46515825037,-11.4404220703,81.60772978,11.4404220703,False
3,2.76652322031,0,53.8730780505,1.1937426317e-20,0,-2.78526580088e-11,1.1937426317e-20,0,-2.78526580193e-11,2.76652322031,0,53.8730780505,-4.30984624404,-0.732591523169,-9.3549451225,-2.2282126407e-12,-3.16110028071e-21,4.6471778778e-12,2.22821264155e-12,-3.16110028071e-21,4.64717787957e-12,4.30984624404,-0.732591523169,-9.3549451225,76.2884288652,9.3549451225,False
4,-0.887214885215,0,55.631563323,-4.98383438536e-19,0,-4.75751532231e-11,-4.98383438536e-19,0,-4.75751532249e-11,-0.887214885216,0,55.631563323,-4.45052506584,0.234939688692,-9.16458037825,-3.80601225785e-12,1.31974848315e-19,7.93784928659e-12,3.80601225799e-12,1.31974848315e-19,7.93784928688e-12,4.45052506584,0.234939688692,-9.16458037825,78.6849158101,9.16458037825,False
5,-0.778186248683,0,57.9743989464,1.51100611633e-19,0,-3.85466207544e-11,1.51100611633e-19,0,-3.85466207545e-11,-0.778186248683,0,57.9743989464,-4.63795191571,0.206068268304,-9.56991500662,-3.08372966036e-12,-4.00123253675e-20,6.43145091148e-12,3.08372966036e-12,-4.00123253675e-20,6.43145091149e-12,4.63795191571,0.206068268304,-9.56991500663,81.9955670392,9.56991500663,False
6,-0.251692169034,0,60.6637603095,-1.200023963e-20,0,-8.74893468559e-12,-1.200023963e-20,0,-8.74893469006e-12,-0.251692169035,0,60.6637603095,-4.85310082476,0.0666495578743,-10.0883406255,-6.99914774847e-13,3.17773361322e-21,1.45974778316e-12,6.99914775204e-13,3.17773361322e-21,1.4597477839e-12,4.85310082476,0.0666495578745,-10.0883406255,85.7922509768,10.0883406255,False
7,-0.0173311512791,0,63.1261119404,2.48911894622e-19,0,-1.80279536351e-09,2.48911894622e-19,0,-1.80279536349e-09,-0.0173311512795,0,63.1261119404,-5.05008895523,0.00458939018499,-10.5302107099,-1.4422362908e-10,-6.59133249552e-20,3.00793939694e-10,1.44223629079e-10,-6.59133249552e-20,3.00793939691e-10,5.05008895523,0.0045893901851,-10.5302107099,89.2738070106,10.5302107099,False
8,0.0250574294748,0,61.4923776042,6.55585559894e-19,0,-1.67688872123e-09,6.55585559894e-19,0,-1.67688872124e-09,0.0250574294745,0,61.4923776042,-4.91939020834,-0.00663535382277,-10.2632367433,-1.34151097699e-10,-1.7360288913e-19,2.79786588649e-10,1.34151097699e-10,-1.7360288913e-19,2.7978658865e-10,4.91939020834,-0.00663535382269,-10.2632367433,86.9633616104,10.2632367433,False
9,0.0142064987999,0,45.6271963517,-2.06055767536e-20,0,1.20867758109e-11,-4.30517630297e-22,0,1.20867763706e-11,0.0142064987998,0,45.6271963517,-3.65017570813,-0.00376196394027,-7.61471626386,9.66942064874e-13,5.45647719453e-21,-2.0166620036e-12,-9.66942109647e-13,1.14003585517e-22,-2.01666209965e-12,3.65017570813,-0.00376196394025,-7.61471626386,64.5266030214,7.61471626386,False
