step,source_step,contact_mode,qp_status,tracking_error_inf,tau_abs_max,max_friction_violation,max_swing_force_norm,FR_f_ref_x,FR_f_qp_x,FR_f_ref_y,FR_f_qp_y,FR_f_ref_z,FR_f_qp_z,FL_f_ref_x,FL_f_qp_x,FL_f_ref_y,FL_f_qp_y,FL_f_ref_z,FL_f_qp_z,RR_f_ref_x,RR_f_qp_x,RR_f_ref_y,RR_f_qp_y,RR_f_ref_z,RR_f_qp_z,RL_f_ref_x,RL_f_qp_x,RL_f_ref_y,RL_f_qp_y,RL_f_ref_z,RL_f_qp_z,FR_stance,FL_stance,RR_stance,RL_stance
0,0,FR_RL,solved,1.72920530426e-11,19.4425094473,0,2.82066389505e-39,47.3648438734,47.3648438734,0,0,78.9414064797,78.9414064797,-1.72920530426e-11,2.77446792014e-39,0,0,3.16868592556e-12,-5.08401975763e-40,-1.72920530426e-11,2.77446792014e-39,0,0,3.16868592543e-12,-5.08401975763e-40,47.3648438734,47.3648438734,0,0,78.9414064797,78.9414064797,True,False,False,True
1,1,FR_RL,solved,2.67784596732e-11,16.3785985638,0,6.32997524471e-39,39.9007013973,39.9007013973,0,0,66.5011690117,66.5011690117,-8.17270080751e-12,1.84757602936e-39,0,0,-2.67784596731e-11,6.05434136917e-39,-8.17270080751e-12,1.84757602936e-39,0,0,-2.67784596732e-11,6.05434136917e-39,39.9007013973,39.9007013973,0,0,66.5011690117,66.5011690117,True,False,False,True
2,2,FR_RL,solved,1.25427939591e-11,11.4404220703,0,4.1170268868e-39,16.8620078056,16.8620078056,0,0,55.1868052408,55.1868052408,2.30562756836e-19,-7.569243362e-47,0,0,-1.25427939591e-11,4.1170268868e-39,2.30562756836e-19,-7.569243362e-47,0,0,-1.25427939256e-11,4.1170268868e-39,16.8620078056,16.8620078056,0,0,55.1868052408,55.1868052408,True,False,False,True
3,3,FR_RL,solved,2.78526580193e-11,9.3549451225,0,9.59548879987e-39,2.76652322031,2.76652322031,0,0,53.8730780505,53.8730780505,1.1937426317e-20,-4.11225360495e-48,0,0,-2.78526580088e-11,9.59361430043e-39,1.1937426317e-20,-4.11225360495e-48,0,0,-2.78526580193e-11,9.59548879987e-39,2.76652322031,2.76652322031,0,0,53.8730780505,53.8730780505,True,False,False,True
4,4,FR_RL,solved,4.75751532249e-11,9.16458037825,0,1.53693791989e-38,-0.887214885215,-0.887214885215,0,0,55.631563323,55.631563323,-4.98383438536e-19,1.60991092908e-46,0,0,-4.75751532231e-11,1.53693791989e-38,-4.98383438536e-19,1.60991092908e-46,0,0,-4.75751532249e-11,1.53693791989e-38,-0.887214885216,-0.887214885216,0,0,55.631563323,55.631563323,True,False,False,True
5,5,FR_RL,solved,3.85466207545e-11,9.56991500663,0,1.14663670214e-38,-0.778186248683,-0.778186248683,0,0,57.9743989464,57.9743989464,1.51100611633e-19,-4.49470032135e-47,0,0,-3.85466207544e-11,1.14663670214e-38,1.51100611633e-19,-4.49470032135e-47,0,0,-3.85466207545e-11,1.14663670214e-38,-0.778186248683,-0.778186248683,0,0,57.9743989464,57.9743989464,True,False,False,True
6,6,FR_RL,solved,8.74893469006e-12,10.0883406255,0,2.37722128478e-39,-0.251692169034,-0.251692169034,0,0,60.6637603095,60.6637603095,-1.200023963e-20,3.26010809935e-48,0,0,-8.74893468559e-12,2.37722128478e-39,-1.200023963e-20,3.26010809935e-48,0,0,-8.74893469006e-12,2.37722128478e-39,-0.251692169035,-0.251692169035,0,0,60.6637603095,60.6637603095,True,False,False,True
7,7,FR_RL,solved,1.80279536351e-09,10.5302107099,0,4.52296998831e-37,-0.0173311512791,-0.0173311512791,0,0,63.1261119404,63.1261119404,2.48911894622e-19,-6.24487872545e-47,0,0,-1.80279536351e-09,4.52296998831e-37,2.48911894622e-19,-6.24487872545e-47,0,0,-1.80279536349e-09,4.52296998831e-37,-0.0173311512795,-0.0173311512795,0,0,63.1261119404,63.1261119404,True,False,False,True
8,8,FR_RL,solved,1.67688872124e-09,10.2632367433,0,4.43345061431e-37,0.0250574294748,0.0250574294748,0,0,61.4923776042,61.4923776042,6.55585559894e-19,-1.73349337023e-46,0,0,-1.67688872123e-09,4.43345061431e-37,6.55585559894e-19,-1.73349337023e-46,0,0,-1.67688872124e-09,4.43345061431e-37,0.0250574294745,0.0250574294745,0,0,61.4923776042,61.4923776042,True,False,False,True
9,9,FR_RL,solved,1.20867763706e-11,7.61471626386,0,5.80335046596e-39,0.0142064987999,0.0142064987999,0,0,45.6271963517,45.6271963517,-2.06055767536e-20,9.89281752914e-48,0,0,1.20867758109e-11,-5.80335046596e-39,-4.30517630297e-22,2.06722713555e-49,0,0,1.20867763706e-11,-5.80335042217e-39,0.0142064987998,0.0142064987998,0,0,45.6271963517,45.6271963517,True,False,False,True
10,10,FL_RR,solved,6.9904380369e-11,7.61559440512,0,3.35452870197e-38,-9.99550137568e-20,4.79598948513e-47,0,0,-6.99043800706e-11,3.35408620695e-38,0.00071374814841,0.00071374814841,0,0,45.6431666407,45.6431666407,0.000713748148397,0.000713748148397,0,0,45.6431666407,45.6431666407,-9.99074186721e-20,4.79351809131e-47,0,0,-6.9904380369e-11,3.35452870197e-38,False,True,True,False
11,11,FL_RR,solved,1.11853196221e-09,10.2282523183,0,2.97638571196e-37,-1.34349900274e-19,3.57478289751e-47,0,0,-1.1185319622e-09,2.97638571196e-37,0.000336680227661,0.000336680227661,0,0,61.3023171573,61.3023171573,0.000336680227661,0.000336680227661,0,0,61.3023171573,61.3023171573,-1.34349900274e-19,3.57478289751e-47,0,0,-1.11853196221e-09,2.97638571196e-37,False,True,True,False
12,12,FL_RR,solved,5.32961884614e-10,10.5391954636,0,1.33536910919e-37,-3.438872348e-19,8.61773587448e-47,0,0,-5.32961884609e-10,1.33536910919e-37,6.6021636969e-05,6.6021636969e-05,0,0,63.1661561232,63.1661561232,6.60216369511e-05,6.60216369511e-05,0,0,63.1661561232,63.1661561232,-3.438872348e-19,8.61773587448e-47,0,0,-5.32961884614e-10,1.33536910919e-37,False,True,True,False
13,13,FL_RR,solved,2.61527264826e-11,10.2017624748,0,6.9939746976e-39,-1.53292611386e-19,4.09947630024e-47,0,0,-2.61527264826e-11,6.9939746976e-39,-1.26282062032e-05,-1.26282062032e-05,0,0,61.1438286292,61.1438286292,-1.2628206231e-05,-1.2628206231e-05,0,0,61.1438286292,61.1438286292,-1.53292611386e-19,4.09947630024e-47,0,0,-2.61527264803e-11,6.9939746976e-39,False,True,True,False
14,14,FL_RR,solved,6.43811832458e-11,9.93036579241,0,1.81728298687e-38,1.91510593815e-19,-5.40505696697e-47,0,0,-6.43811832458e-11,1.81728298687e-38,-1.45401946857e-05,-1.45401946857e-05,0,0,59.5172259633,59.5172259633,-1.45401946704e-05,-1.45401946704e-05,0,0,59.5172259633,59.5172259633,1.91510593815e-19,-5.40505696697e-47,0,0,-6.43811832417e-11,1.81728298687e-38,False,True,True,False
15,15,FL_RR,solved,5.04719401249e-11,9.93447437928,0,1.42335139891e-38,-5.87275228755e-20,1.65577525829e-47,0,0,-5.04719401249e-11,1.42335139891e-38,-5.21705306045e-06,-5.21705306045e-06,0,0,59.5418432012,59.5418432012,-5.2170530487e-06,-5.2170530487e-06,0,0,59.5418432012,59.5418432012,-5.87275228755e-20,1.65577525829e-47,0,0,-5.04719401238e-11,1.42335139891e-38,False,True,True,False
16,16,FL_RR,solved,1.1839954736e-11,10.2220082055,0,3.15391230654e-39,6.50689143181e-20,-1.73353455469e-47,0,0,-1.18399547328e-11,3.15391228464e-39,-5.70643799046e-07,-5.70643799046e-07,0,0,61.2651609651,61.2651609651,-5.70644089263e-07,-5.70644089263e-07,0,0,61.2651609651,61.2651609651,6.50689143181e-20,-1.73353455469e-47,0,0,-1.1839954736e-11,3.15391230654e-39,False,True,True,False
17,17,FL_RR,solved,1.8353875204e-09,10.5966336758,0,4.54953255359e-37,-7.05312985656e-20,1.7480806329e-47,0,0,-1.8353875204e-09,4.54953249754e-37,4.09630026696e-07,4.09630026696e-07,0,0,63.5104616102,63.5104616102,4.09629624305e-07,4.09629624305e-07,0,0,63.5104616102,63.5104616102,-7.05313482792e-20,1.7480806329e-47,0,0,-1.8353875204e-09,4.54953255359e-37,False,True,True,False
18,18,FL_RR,solved,1.69130572259e-09,10.3248155831,0,4.41551954311e-37,4.01783093857e-21,-1.04893685104e-48,0,0,-1.69130572259e-09,4.41551954311e-37,2.69857772307e-07,2.69857772307e-07,0,0,61.8813318336,61.8813318336,2.69857768178e-07,2.69857768178e-07,0,0,61.8813318336,61.8813318336,4.02410400184e-21,-1.05045617643e-48,0,0,-1.69130572259e-09,4.41551954311e-37,False,True,True,False
19,19,FL_RR,solved,4.5570312871e-11,7.66263598643,0,2.15946185498e-38,4.78121758148e-20,-2.26577373794e-47,0,0,4.5570312871e-11,-2.15946185498e-38,7.86651708446e-08,7.86651708446e-08,0,0,45.9256746406,45.9256746406,7.86652276867e-08,7.86652276867e-08,0,0,45.9256746406,45.9256746406,-1.12027914e-20,5.30829619602e-48,0,0,4.55703128053e-11,-2.15946185498e-38,False,True,True,False
20,20,FR_RL,solved,1.31241095828e-10,7.67130250005,0,6.20545238592e-38,-1.56437590892e-08,-1.56437590892e-08,0,0,45.977617087,45.977617087,5.20392788834e-20,-2.4607114014e-47,0,0,-1.31241095828e-10,6.20545231585e-38,5.20392788834e-20,-2.4607114014e-47,0,0,-1.31241095777e-10,6.20545238592e-38,-1.56437555355e-08,-1.56437555355e-08,0,0,45.977617087,45.977617087,True,False,False,True
21,21,FR_RL,solved,1.12230575381e-09,10.3016138584,0,2.94315484374e-37,-7.38359399314e-09,-7.38359399314e-09,0,0,61.742273528,61.742273528,3.82705615978e-19,-1.00370303142e-46,0,0,-1.12230575381e-09,2.94315484374e-37,3.82705615978e-19,-1.00370303142e-46,0,0,-1.12230575381e-09,2.94315484374e-37,-7.38361237037e-09,-7.38361237037e-09,0,0,61.742273528,61.742273528,True,False,False,True
22,22,FR_RL,solved,5.45331810348e-10,10.6095266991,0,1.34836690915e-37,-1.45336117419e-09,-1.45336117419e-09,0,0,63.5877357096,63.5877357096,1.25439365145e-19,-3.10155868207e-47,0,0,-5.45331810348e-10,1.34836690915e-37,1.25439365145e-19,-3.10155868207e-47,0,0,-5.45331810238e-10,1.34836690915e-37,-1.45341505591e-09,-1.45341505591e-09,0,0,63.5877357096,63.5877357096,True,False,False,True
23,23,FR_RL,solved,2.87349970592e-11,10.2636154632,0,7.59189508967e-39,2.70060840893e-10,2.70060840893e-10,0,0,61.5145317973,61.5145317973,-1.69236848177e-19,4.47156606154e-47,0,0,-2.87349970579e-11,7.59189508967e-39,-1.69236848177e-19,4.47156606154e-47,0,0,-2.87349970592e-11,7.59189508967e-39,2.70133321098e-10,2.70133321098e-10,0,0,61.5145317973,61.5145317973,True,False,False,True
24,24,FR_RL,solved,8.2157047343e-11,9.9841763459,0,2.29369997705e-38,3.11999756268e-10,3.11999756268e-10,0,0,59.839725631,59.839725631,1.40457429584e-19,-3.92166207975e-47,0,0,-8.2157047341e-11,2.29369997705e-38,1.40457429584e-19,-3.92166207975e-47,0,0,-8.2157047343e-11,2.29369997705e-38,3.11968365692e-10,3.11968365692e-10,0,0,59.839725631,59.839725631,True,False,False,True
25,25,FR_RL,solved,6.07225976986e-11,9.98409449523,0,1.69515189085e-38,1.08075499754e-10,1.08075499754e-10,0,0,59.8392350627,59.8392350627,6.92001780615e-21,-1.9317799684e-48,0,0,-6.07225976986e-11,1.69515189085e-38,6.92001780615e-21,-1.9317799684e-48,0,0,-6.07225976928e-11,1.69515189085e-38,1.0754111158e-10,1.0754111158e-10,0,0,59.8392350627,59.8392350627,True,False,False,True
26,26,FR_RL,solved,1.18999205954e-11,10.2693675513,0,3.14060603612e-39,6.14937548225e-12,6.14937548225e-12,0,0,61.5490066868,61.5490066868,4.05792751912e-20,-1.07098031037e-47,0,0,-1.18999205906e-11,3.14060603612e-39,4.05792751912e-20,-1.07098031037e-47,0,0,-1.18999205954e-11,3.14060603612e-39,6.13890932242e-12,6.13890932242e-12,0,0,61.5490066868,61.5490066868,True,False,False,True
27,27,FR_RL,solved,1.86317350853e-09,10.6417859855,0,4.5788648133e-37,-1.50199905462e-11,-1.50199905462e-11,0,0,63.7810803351,63.7810803351,7.98004894864e-20,-1.96149445127e-47,0,0,-1.86317350851e-09,4.5788648133e-37,7.98004957344e-20,-1.96149445127e-47,0,0,-1.86317350853e-09,4.5788648133e-37,-1.5017018151e-11,-1.5017018151e-11,0,0,63.7810803351,63.7810803351,True,False,False,True
