step,contact_mode,px,pz,vx,vz,desired_ax,desired_az,max_tau_candidate_abs,max_tau_candidate_delta_abs,sum_fx,sum_fy,sum_fz,max_swing_force_norm,min_stance_fz,max_stance_fz,max_friction_violation,max_normal_force_violation,force_FR_fx,force_FR_fy,force_FR_fz,force_FL_fx,force_FL_fy,force_FL_fz,force_RR_fx,force_RR_fy,force_RR_fz,force_RL_fx,force_RL_fy,force_RL_fz,tau_candidate_00,tau_candidate_01,tau_candidate_02,tau_candidate_03,tau_candidate_04,tau_candidate_05,tau_candidate_06,tau_candidate_07,tau_candidate_08,tau_candidate_09,tau_candidate_10,tau_candidate_11,max_tau_scaled_abs_alpha_0p0,max_tau_scaled_delta_abs_alpha_0p0,max_tau_scaled_abs_alpha_0p02,max_tau_scaled_delta_abs_alpha_0p02,max_tau_scaled_abs_alpha_0p05,max_tau_scaled_delta_abs_alpha_0p05,max_tau_scaled_abs_alpha_0p1,max_tau_scaled_delta_abs_alpha_0p1,max_tau_scaled_abs_alpha_0p2,max_tau_scaled_delta_abs_alpha_0p2
0,FR_RL,0.0,0.28,0.0,0.0,0.6,0.39999999999999925,11.327608259999998,11.327608259999998,7.646039999999999,0.0,130.11011399999998,0.0,65.05505699999999,65.05505699999999,0.0,0.0,3.8230199999999996,0.0,65.05505699999999,0.0,0.0,0.0,0.0,0.0,0.0,3.8230199999999996,0.0,65.05505699999999,-1.9516517099999997,-11.327608259999998,9.33708918,0.0,0.0,0.0,0.0,0.0,0.0,1.9516517099999997,-11.327608259999998,9.33708918,0.0,0.0,0.22655216519999996,0.22655216519999996,0.566380413,0.566380413,1.132760826,1.132760826,2.265521652,2.265521652
1,FR_RL,0.0,0.28,0.012,0.007999999999999972,0.576,0.3679999999999993,11.306199348,0.03772046399999951,7.340198399999999,0.0,129.7023252,0.0,64.8511626,64.8511626,0.0,0.0,3.6700991999999997,0.0,64.8511626,0.0,0.0,0.0,0.0,0.0,0.0,3.6700991999999997,0.0,64.8511626,-1.9455348779999997,-11.306199348,9.299368716,0.0,0.0,0.0,0.0,0.0,0.0,1.9455348779999997,-11.306199348,9.299368716,0.0,0.0,0.22612398696,0.0007544092799999903,0.5653099674000001,0.0018860231999999755,1.1306199348000001,0.003772046399999951,2.2612398696000002,0.007544092799999902
2,FR_RL,0.00024,0.28016,0.02352,0.015359999999999943,0.55296,0.3353599999999996,11.28344473296,0.03792435839999797,7.046590463999999,0.0,129.286380624,0.0,64.643190312,64.643190312,0.0,0.0,3.5232952319999997,0.0,64.643190312,0.0,0.0,0.0,0.0,0.0,0.0,3.5232952319999997,0.0,64.643190312,-1.93929570936,-11.28344473296,9.261444357600002,0.0,0.0,0.0,0.0,0.0,0.0,1.93929570936,-11.28344473296,9.261444357600002,0.0,0.0,0.2256688946592,0.0007584871679999594,0.564172236648,0.0018962179199998987,1.128344473296,0.0037924358399997974,2.256688946592,0.007584871679999595
3,FR_RL,0.0007104,0.2804672,0.0345792,0.022067199999999936,0.5308416,0.30238719999999947,11.2597212117312,0.03786889912320213,6.76472684544,0.0,128.86619504448,0.0,64.43309752224,64.43309752224,0.0,0.0,3.38236342272,0.0,64.43309752224,0.0,0.0,0.0,0.0,0.0,0.0,3.38236342272,0.0,64.43309752224,-1.9329929256672,-11.2597212117312,9.2235754584768,0.0,0.0,0.0,0.0,0.0,0.0,1.9329929256672,-11.2597212117312,9.2235754584768,0.0,0.0,0.22519442423462402,0.0007573779824640426,0.5629860605865601,0.0018934449561601064,1.1259721211731202,0.0037868899123202127,2.2519442423462404,0.0075737798246404255
4,FR_RL,0.001401984,0.28090854400000004,0.045196032,0.028114943999999937,0.509607936,0.2693693439999993,11.235382288268541,0.03757085444505748,6.494137771622399,0.0,128.44543529832958,0.0,64.22271764916479,64.22271764916479,0.0,0.0,3.2470688858111996,0.0,64.22271764916479,0.0,0.0,0.0,0.0,0.0,0.0,3.2470688858111996,0.0,64.22271764916479,-1.9266815294749438,-11.235382288268541,9.186004604031742,0.0,0.0,0.0,0.0,0.0,0.0,1.9266815294749438,-11.235382288268541,9.186004604031742,0.0,0.0,0.22470764576537083,0.0007514170889011496,0.561769114413427,0.001878542722252874,1.123538228826854,0.003757085444505748,2.247076457653708,0.007514170889011496
5,FR_RL,0.00230590464,0.28147084288,0.055388190719999994,0.033502330879999924,0.48922361855999996,0.23657381887999976,11.21075717927851,0.0370478199629396,6.234372260757503,0.0,128.0275088035154,0.0,64.0137544017577,64.0137544017577,0.0,0.0,3.1171861303787516,0.0,64.0137544017577,0.0,0.0,0.0,0.0,0.0,0.0,3.1171861303787516,0.0,64.0137544017577,-1.9204126320527308,-11.21075717927851,9.148956784068803,0.0,0.0,0.0,0.0,0.0,0.0,1.9204126320527308,-11.21075717927851,9.148956784068803,0.0,0.0,0.22421514358557018,0.000740956399258792,0.5605378589639255,0.00185239099814698,1.121075717927851,0.00370478199629396,2.242151435855702,0.00740956399258792
6,FR_RL,0.0034136684544,0.2821408894976,0.0651726630912,0.03823380725759993,0.46965467381759995,0.2042469810175996,11.18615007949461,0.03631801450600847,5.984997370327203,0.0,127.61555497789968,0.0,63.80777748894984,63.80777748894984,0.0,0.0,2.9924986851636013,0.0,63.80777748894984,0.0,0.0,0.0,0.0,0.0,0.0,2.9924986851636013,0.0,63.80777748894984,-1.914233324668495,-11.18615007949461,9.112638769562794,0.0,0.0,0.0,0.0,0.0,0.0,1.914233324668495,-11.18615007949461,9.112638769562794,0.0,0.0,0.2237230015898922,0.0007263602901201693,0.5593075039747305,0.0018159007253004235,1.118615007949461,0.003631801450600847,2.237230015898922,0.007263602901201694
7,FR_RL,0.004717121716224,0.28290556564275204,0.07456575656755199,0.04231874687795191,0.450868486864896,0.17261369963315126,11.161839674015754,0.03540008590401378,5.745597475514115,0.0,127.21243941990511,0.0,63.606219709952555,63.606219709952555,0.0,0.0,2.8727987377570576,0.0,63.606219709952555,0.0,0.0,0.0,0.0,0.0,0.0,2.8727987377570576,0.0,63.606219709952555,-1.9081865912985765,-11.161839674015754,9.07723868365878,0.0,0.0,0.0,0.0,0.0,0.0,1.9081865912985765,-11.161839674015754,9.07723868365878,0.0,0.0,0.22323679348031508,0.0007080017180802756,0.5580919837007877,0.001770004295200689,1.1161839674015754,0.003540008590401378,2.232367934803151,0.007080017180802756
8,FR_RL,0.006208436847575039,0.28375194058031106,0.0835831263048499,0.045771020870614944,0.43283374739030017,0.14187710491131886,11.138078884060745,0.034312927453090225,5.515773576493551,0.0,126.82075069872691,0.0,63.410375349363456,63.410375349363456,0.0,0.0,2.7578867882467755,0.0,63.410375349363456,0.0,0.0,0.0,0.0,0.0,0.0,2.7578867882467755,0.0,63.410375349363456,-1.9023112604809036,-11.138078884060745,9.04292575620569,0.0,0.0,0.0,0.0,0.0,0.0,1.9023112604809036,-11.138078884060745,9.04292575620569,0.0,0.0,0.2227615776812149,0.0006862585490618045,0.5569039442030372,0.0017156463726545113,1.1138078884060745,0.0034312927453090227,2.227615776812149,0.006862585490618045
9,FR_RL,0.007880099373672038,0.28466736099772333,0.0922398012526559,0.048608562968841335,0.41552039749468817,0.11221852817016786,11.115094831597844,0.03307550577081564,5.295142633433809,0.0,126.44279959188371,0.0,63.221399795941856,63.221399795941856,0.0,0.0,2.6475713167169044,0.0,63.221399795941856,0.0,0.0,0.0,0.0,0.0,0.0,2.6475713167169044,0.0,63.221399795941856,-1.8966419938782557,-11.115094831597844,9.009850250434875,0.0,0.0,0.0,0.0,0.0,0.0,1.8966419938782557,-11.115094831597844,9.009850250434875,0.0,0.0,0.22230189663195687,0.0006615101154163128,0.5557547415798922,0.001653775288540782,1.1115094831597845,0.003307550577081564,2.223018966319569,0.006615101154163128
