step,contact_mode,px,pz,vx,vz,desired_ax,desired_az,max_tau_candidate_abs,max_tau_candidate_delta_abs,sum_fx,sum_fy,sum_fz,max_swing_force_norm,min_stance_fz,max_stance_fz,max_friction_violation,max_normal_force_violation,force_FR_fx,force_FR_fy,force_FR_fz,force_FL_fx,force_FL_fy,force_FL_fz,force_RR_fx,force_RR_fy,force_RR_fz,force_RL_fx,force_RL_fy,force_RL_fz,tau_pinocchio_candidate_00,tau_pinocchio_candidate_01,tau_pinocchio_candidate_02,tau_pinocchio_candidate_03,tau_pinocchio_candidate_04,tau_pinocchio_candidate_05,tau_pinocchio_candidate_06,tau_pinocchio_candidate_07,tau_pinocchio_candidate_08,tau_pinocchio_candidate_09,tau_pinocchio_candidate_10,tau_pinocchio_candidate_11,max_tau_scaled_abs_alpha_0p0,max_tau_scaled_delta_abs_alpha_0p0,max_tau_scaled_abs_alpha_0p02,max_tau_scaled_delta_abs_alpha_0p02,max_tau_scaled_abs_alpha_0p05,max_tau_scaled_delta_abs_alpha_0p05,max_tau_scaled_abs_alpha_0p1,max_tau_scaled_delta_abs_alpha_0p1,max_tau_scaled_abs_alpha_0p2,max_tau_scaled_delta_abs_alpha_0p2
0,FR_RL,0.0,0.28,0.0,0.0,0.6,0.39999999999999925,10.507537757598541,10.507537757598541,7.646039999999999,0.0,130.11011399999998,0.0,65.05505699999999,65.05505699999999,0.0,0.0,3.8230199999999996,0.0,65.05505699999999,0.0,0.0,0.0,0.0,0.0,0.0,3.8230199999999996,0.0,65.05505699999999,0.0,-1.134660150961524,-10.507537757598541,0.0,0.0,0.0,0.0,0.0,0.0,-1.0611012069006165e-09,-1.1346601520226252,-10.507537757598541,0.0,0.0,0.21015075515197082,0.21015075515197082,0.5253768878799271,0.5253768878799271,1.0507537757598542,1.0507537757598542,2.1015075515197084,2.1015075515197084
1,FR_RL,0.0,0.28,0.012,0.007999999999999972,0.576,0.3679999999999993,10.453690114469769,0.05384764312877266,7.340198399999999,0.0,129.7023252,0.0,64.8511626,64.8511626,0.0,0.0,3.6700991999999997,0.0,64.8511626,0.0,0.0,0.0,0.0,0.0,0.0,3.6700991999999997,0.0,64.8511626,0.0,-1.0892737103085268,-10.453690114469769,0.0,0.0,0.0,0.0,0.0,0.0,-1.0186571586245918e-09,-1.089273711327184,-10.453690114469769,0.0,0.0,0.20907380228939537,0.0010769528625754533,0.5226845057234885,0.002692382156438633,1.045369011446977,0.005384764312877266,2.090738022893954,0.010769528625754532
2,FR_RL,0.00024,0.28016,0.02352,0.015359999999999943,0.55296,0.3353599999999996,10.400127111856326,0.05356300261344238,7.046590463999999,0.0,129.286380624,0.0,64.643190312,64.643190312,0.0,0.0,3.5232952319999997,0.0,64.643190312,0.0,0.0,0.0,0.0,0.0,0.0,3.5232952319999997,0.0,64.643190312,0.0,-1.045702727458217,-10.400127111856326,0.0,0.0,0.0,0.0,0.0,0.0,-9.779108722796082e-10,-1.0457027284361278,-10.400127111856326,0.0,0.0,0.20800254223712653,0.0010712600522688475,0.5200063555928164,0.002678150130672119,1.0400127111856328,0.005356300261344238,2.0800254223712655,0.010712600522688477
3,FR_RL,0.0007104,0.2804672,0.0345792,0.022067199999999936,0.5308416,0.30238719999999947,10.347111523035041,0.05301558882128532,6.76472684544,0.0,128.86619504448,0.0,64.43309752224,64.43309752224,0.0,0.0,3.38236342272,0.0,64.43309752224,0.0,0.0,0.0,0.0,0.0,0.0,3.38236342272,0.0,64.43309752224,0.0,-1.00387458407259,-10.347111523035041,0.0,0.0,0.0,0.0,0.0,0.0,-9.387944373884239e-10,-1.0038745850113844,-10.347111523035041,0.0,0.0,0.20694223046070082,0.0010603117764257065,0.5173555761517521,0.002650779441064266,1.0347111523035042,0.005301558882128532,2.0694223046070084,0.010603117764257064
4,FR_RL,0.001401984,0.28090854400000004,0.045196032,0.028114943999999937,0.509607936,0.2693693439999993,10.29488863176155,0.052222891273491,6.494137771622399,0.0,128.44543529832958,0.0,64.22271764916479,64.22271764916479,0.0,0.0,3.2470688858111996,0.0,64.22271764916479,0.0,0.0,0.0,0.0,0.0,0.0,3.2470688858111996,0.0,64.22271764916479,0.0,-0.9637195665478214,-10.29488863176155,0.0,0.0,0.0,0.0,0.0,0.0,-9.012426598928868e-10,-0.9637195674490641,-10.29488863176155,0.0,0.0,0.205897772635231,0.00104445782546982,0.5147444315880775,0.0026111445636745503,1.029488863176155,0.005222289127349101,2.05897772635231,0.010444578254698201
5,FR_RL,0.00230590464,0.28147084288,0.055388190719999994,0.033502330879999924,0.48922361855999996,0.23657381887999976,10.24368529686718,0.051203334894369235,6.234372260757503,0.0,128.0275088035154,0.0,64.0137544017577,64.0137544017577,0.0,0.0,3.1171861303787516,0.0,64.0137544017577,0.0,0.0,0.0,0.0,0.0,0.0,3.1171861303787516,0.0,64.0137544017577,0.0,-0.9251707498250533,-10.24368529686718,0.0,0.0,0.0,0.0,0.0,0.0,-8.651929534971713e-10,-0.9251707506902462,-10.24368529686718,0.0,0.0,0.2048737059373436,0.0010240666978873847,0.5121842648433591,0.002560166744718462,1.0243685296867182,0.005120333489436924,2.0487370593734364,0.010240666978873847
6,FR_RL,0.0034136684544,0.2821408894976,0.0651726630912,0.03823380725759993,0.46965467381759995,0.2042469810175996,10.193709240899384,0.04997605596779664,5.984997370327203,0.0,127.61555497789968,0.0,63.80777748894984,63.80777748894984,0.0,0.0,2.9924986851636013,0.0,63.80777748894984,0.0,0.0,0.0,0.0,0.0,0.0,2.9924986851636013,0.0,63.80777748894984,0.0,-0.8881638858487322,-10.193709240899384,0.0,0.0,0.0,0.0,0.0,0.0,-8.305852353572843e-10,-0.8881638866793174,-10.193709240899384,0.0,0.0,0.2038741848179877,0.0009995211193559329,0.5096854620449692,0.002498802798389832,1.0193709240899385,0.004997605596779664,2.038741848179877,0.009995211193559329
7,FR_RL,0.004717121716224,0.28290556564275204,0.07456575656755199,0.04231874687795191,0.450868486864896,0.17261369963315126,10.145148551993683,0.048560688905700644,5.745597475514115,0.0,127.21243941990511,0.0,63.606219709952555,63.606219709952555,0.0,0.0,2.8727987377570576,0.0,63.606219709952555,0.0,0.0,0.0,0.0,0.0,0.0,2.8727987377570576,0.0,63.606219709952555,0.0,-0.8526372964865971,-10.145148551993683,0.0,0.0,0.0,0.0,0.0,0.0,-7.973618259429931e-10,-0.8526372972839589,-10.145148551993683,0.0,0.0,0.20290297103987368,0.0009712137781140129,0.5072574275996842,0.0024280344452850323,1.0145148551993683,0.004856068890570065,2.0290297103987367,0.00971213778114013
8,FR_RL,0.006208436847575039,0.28375194058031106,0.0835831263048499,0.045771020870614944,0.43283374739030017,0.14187710491131886,10.098171387252522,0.046977164741161204,5.515773576493551,0.0,126.82075069872691,0.0,63.410375349363456,63.410375349363456,0.0,0.0,2.7578867882467755,0.0,63.410375349363456,0.0,0.0,0.0,0.0,0.0,0.0,2.7578867882467755,0.0,63.410375349363456,0.0,-0.8185317707328486,-10.098171387252522,0.0,0.0,0.0,0.0,0.0,0.0,-7.654673529052734e-10,-0.8185317714983159,-10.098171387252522,0.0,0.0,0.20196342774505044,0.0009395432948232241,0.5049085693626262,0.0023488582370580604,1.0098171387252524,0.004697716474116121,2.0196342774505047,0.009395432948232241
9,FR_RL,0.007880099373672038,0.28466736099772333,0.0922398012526559,0.048608562968841335,0.41552039749468817,0.11221852817016786,10.052925865152869,0.04524552209965371,5.295142633433809,0.0,126.44279959188371,0.0,63.221399795941856,63.221399795941856,0.0,0.0,2.6475713167169044,0.0,63.221399795941856,0.0,0.0,0.0,0.0,0.0,0.0,2.6475713167169044,0.0,63.221399795941856,0.0,-0.7857904660231773,-10.052925865152869,0.0,0.0,0.0,0.0,0.0,0.0,-7.348486587890624e-10,-0.7857904667580259,-10.052925865152869,0.0,0.0,0.20105851730305738,0.0009049104419930743,0.5026462932576434,0.002262276104982686,1.0052925865152869,0.004524552209965372,2.0105851730305737,0.009049104419930743
