step,contact_FR,contact_FL,contact_RR,contact_RL,desired_ax,desired_ay,desired_az,jacobian_norm_step,tau_candidate_max_abs,alpha_0_10_tau_max_abs,alpha_0_20_tau_max_abs
0,1,0,0,1,0.0,0.0,0.0,0.513291339934702,9.556731969930048,0.9556731969930049,1.9113463939860098
20,1,0,0,1,0.031333308391076065,0.00502324156234507,0.0020097727271907824,0.515853735343299,9.47972552793716,0.9556731969930049,1.9113463939860098
40,1,0,0,1,0.0621724717912137,0.010026658685144341,0.004014468594048596,0.5178590739274037,9.350071381880708,0.9556731969930049,1.9113463939860098
60,1,0,0,1,0.09203113817116948,0.014990505166857968,0.006009023564830283,0.5192707526381977,9.17090151466477,0.9556731969930049,1.9113463939860098
80,1,0,0,1,0.12043841852542883,0.019895190973188384,0.007988399220576281,0.5200826033193743,8.946972568481028,0.9556731969930049,1.9113463939860098
100,1,0,0,1,0.14694631307311828,0.024721359549995794,0.009947595486594192,0.5203103517632792,8.685057941985797,0.9556731969930049,1.9113463939860098
120,1,0,0,1,0.17113677648217215,0.029449964214774235,0.011881663263081398,0.5199825665317559,8.39418423732857,0.9556731969930049,1.9113463939860098
140,1,0,0,1,0.1926283106939473,0.034062343325205816,0.013785716926980683,0.5191330131701275,8.085605455339087,0.9556731969930049,1.9113463939860098
160,1,0,0,1,0.21108198137550377,0.03854029392813723,0.015654946673488098,0.5177958629389131,7.772461553102932,0.9556731969930049,1.9113463939860098
180,1,0,0,1,0.2262067631165049,0.042866143598319736,0.017484630666037317,0.5162737440644299,7.469133339262789,0.9556731969930049,1.9113463939860098
200,0,1,1,0,0.23776412907378838,0.04702282018339785,0.019270146964068615,0.4938474566351138,9.481724044561526,0.9556731969930049,1.9113463939860098
220,0,1,1,0,0.24557181268217215,0.050993919179895174,0.02100698519845183,0.49722859608380154,9.55334056147142,0.9556731969930049,1.9113463939860098
240,0,1,1,0,0.2495066821070679,0.054763768474295094,0.022690757965070262,0.5008640887006341,9.705206848814205,0.9705206848814205,1.941041369762841
260,0,1,1,0,0.2495066821070679,0.05831749019371293,0.024317211907784214,0.5045636989064486,9.80086103804266,0.9800861038042661,1.9601722076085322
280,0,1,1,0,0.24557181268217215,0.06164105942206314,0.025882238462777773,0.5081431331568523,9.839055157226916,0.9839055157226917,1.9678110314453834
300,0,1,1,0,0.2377641290737884,0.06472135954999579,0.027381884237147547,0.5114378175781431,9.81936526708871,0.983979372430523,1.967958744861046
320,0,1,1,0,0.22620676311650487,0.0675462340401612,0.02881236099551628,0.5143137192954009,9.741983059030527,0.983979372430523,1.967958744861046
340,0,1,1,0,0.21108198137550374,0.0701045344035091,0.030170055229444152,0.5166737323660405,9.607783495807777,0.983979372430523,1.967958744861046
360,0,1,1,0,0.1926283106939473,0.07238616419728157,0.03145153728546476,0.5184589369845259,9.418652485530156,0.983979372430523,1.967958744861046
380,0,1,1,0,0.1711367764821722,0.07438211887106011,0.03265357002868736,0.5196450260885231,9.177990289469161,0.983979372430523,1.967958744861046
