step,qpos_finite,qvel_finite,ctrl_max_abs,base_z,mapped_joint_count,mapped_actuator_count
0,1,1,0.0,0.32,12,12
20,1,1,0.0,0.32,12,12
40,1,1,0.0,0.32,12,12
60,1,1,0.0,0.32,12,12
80,1,1,0.0,0.32,12,12
100,1,1,0.0,0.32,12,12
120,1,1,0.0,0.32,12,12
140,1,1,0.0,0.32,12,12
160,1,1,0.0,0.32,12,12
180,1,1,0.0,0.32,12,12
200,1,1,0.0,0.32,12,12
220,1,1,0.0,0.32,12,12
240,1,1,0.0,0.32,12,12
260,1,1,0.0,0.32,12,12
280,1,1,0.0,0.32,12,12
300,1,1,0.0,0.32,12,12
320,1,1,0.0,0.32,12,12
340,1,1,0.0,0.32,12,12
360,1,1,0.0,0.32,12,12
380,1,1,0.0,0.32,12,12
400,1,1,0.0,0.32,12,12
420,1,1,0.0,0.32,12,12
440,1,1,0.0,0.32,12,12
460,1,1,0.0,0.32,12,12
480,1,1,0.0,0.32,12,12
500,1,1,0.0,0.32,12,12
520,1,1,0.0,0.32,12,12
540,1,1,0.0,0.32,12,12
560,1,1,0.0,0.32,12,12
580,1,1,0.0,0.32,12,12
600,1,1,0.0,0.32,12,12
620,1,1,0.0,0.32,12,12
640,1,1,0.0,0.32,12,12
660,1,1,0.0,0.32,12,12
680,1,1,0.0,0.32,12,12
700,1,1,0.0,0.32,12,12
720,1,1,0.0,0.32,12,12
740,1,1,0.0,0.32,12,12
760,1,1,0.0,0.32,12,12
780,1,1,0.0,0.32,12,12
800,1,1,0.0,0.32,12,12
820,1,1,0.0,0.32,12,12
840,1,1,0.0,0.32,12,12
860,1,1,0.0,0.32,12,12
880,1,1,0.0,0.32,12,12
900,1,1,0.0,0.32,12,12
920,1,1,0.0,0.32,12,12
940,1,1,0.0,0.32,12,12
960,1,1,0.0,0.32,12,12
980,1,1,0.0,0.32,12,12
1000,1,1,0.0,0.32,12,12
1020,1,1,0.0,0.32,12,12
1040,1,1,0.0,0.32,12,12
1060,1,1,0.0,0.32,12,12
1080,1,1,0.0,0.32,12,12
1100,1,1,0.0,0.32,12,12
1120,1,1,0.0,0.32,12,12
1140,1,1,0.0,0.32,12,12
1160,1,1,0.0,0.32,12,12
1180,1,1,0.0,0.32,12,12
1200,1,1,0.0,0.32,12,12
1220,1,1,0.0,0.32,12,12
1240,1,1,0.0,0.32,12,12
1260,1,1,0.0,0.32,12,12
1280,1,1,0.0,0.32,12,12
1300,1,1,0.0,0.32,12,12
1320,1,1,0.0,0.32,12,12
1340,1,1,0.0,0.32,12,12
1360,1,1,0.0,0.32,12,12
1380,1,1,0.0,0.32,12,12
1400,1,1,0.0,0.32,12,12
1420,1,1,0.0,0.32,12,12
1440,1,1,0.0,0.32,12,12
1460,1,1,0.0,0.32,12,12
1480,1,1,0.0,0.32,12,12
1500,1,1,0.0,0.32,12,12
1520,1,1,0.0,0.32,12,12
1540,1,1,0.0,0.32,12,12
1560,1,1,0.0,0.32,12,12
1580,1,1,0.0,0.32,12,12
1600,1,1,0.0,0.32,12,12
1620,1,1,0.0,0.32,12,12
1640,1,1,0.0,0.32,12,12
1660,1,1,0.0,0.32,12,12
1680,1,1,0.0,0.32,12,12
1700,1,1,0.0,0.32,12,12
1720,1,1,0.0,0.32,12,12
1740,1,1,0.0,0.32,12,12
1760,1,1,0.0,0.32,12,12
1780,1,1,0.0,0.32,12,12
1800,1,1,0.0,0.32,12,12
1820,1,1,0.0,0.32,12,12
1840,1,1,0.0,0.32,12,12
1860,1,1,0.0,0.32,12,12
1880,1,1,0.0,0.32,12,12
1900,1,1,0.0,0.32,12,12
1920,1,1,0.0,0.32,12,12
1940,1,1,0.0,0.32,12,12
1960,1,1,0.0,0.32,12,12
1980,1,1,0.0,0.32,12,12
2000,1,1,0.0,0.32,12,12
2020,1,1,0.0,0.32,12,12
2040,1,1,0.0,0.32,12,12
2060,1,1,0.0,0.32,12,12
2080,1,1,0.0,0.32,12,12
2100,1,1,0.0,0.32,12,12
2120,1,1,0.0,0.32,12,12
2140,1,1,0.0,0.32,12,12
2160,1,1,0.0,0.32,12,12
2180,1,1,0.0,0.32,12,12
2200,1,1,0.0,0.32,12,12
2220,1,1,0.0,0.32,12,12
2240,1,1,0.0,0.32,12,12
2260,1,1,0.0,0.32,12,12
2280,1,1,0.0,0.32,12,12
2300,1,1,0.0,0.32,12,12
2320,1,1,0.0,0.32,12,12
2340,1,1,0.0,0.32,12,12
2360,1,1,0.0,0.32,12,12
2380,1,1,0.0,0.32,12,12
2399,1,1,0.0,0.32,12,12
