perturbation_id,perturbation_type,perturb_x,perturb_y,perturb_yaw,scale,scale_tag,control_mode,log_csv,summary_csv
nominal,none,0.000000,0.000000,0.000000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_nominal_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_nominal_0p000_baseline_summary.csv
nominal,none,0.000000,0.000000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_nominal_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_nominal_0p010_mpc_assisted_candidate_summary.csv
nominal,none,0.000000,0.000000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_nominal_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_nominal_0p020_mpc_assisted_candidate_summary.csv
x_plus,base_x,0.020000,0.000000,0.000000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_x_plus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_x_plus_0p000_baseline_summary.csv
x_plus,base_x,0.020000,0.000000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_x_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_x_plus_0p010_mpc_assisted_candidate_summary.csv
x_plus,base_x,0.020000,0.000000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_x_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_x_plus_0p020_mpc_assisted_candidate_summary.csv
x_minus,base_x,-0.020000,0.000000,0.000000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_x_minus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_x_minus_0p000_baseline_summary.csv
x_minus,base_x,-0.020000,0.000000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_x_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_x_minus_0p010_mpc_assisted_candidate_summary.csv
x_minus,base_x,-0.020000,0.000000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_x_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_x_minus_0p020_mpc_assisted_candidate_summary.csv
y_plus,base_y,0.000000,0.020000,0.000000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_y_plus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_y_plus_0p000_baseline_summary.csv
y_plus,base_y,0.000000,0.020000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_y_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_plus_0p010_mpc_assisted_candidate_summary.csv
y_plus,base_y,0.000000,0.020000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_y_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_plus_0p020_mpc_assisted_candidate_summary.csv
y_minus,base_y,0.000000,-0.020000,0.000000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_y_minus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_y_minus_0p000_baseline_summary.csv
y_minus,base_y,0.000000,-0.020000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_y_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_minus_0p010_mpc_assisted_candidate_summary.csv
y_minus,base_y,0.000000,-0.020000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_y_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_minus_0p020_mpc_assisted_candidate_summary.csv
yaw_plus,base_yaw,0.000000,0.000000,0.030000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p000_baseline_summary.csv
yaw_plus,base_yaw,0.000000,0.000000,0.030000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p010_mpc_assisted_candidate_summary.csv
yaw_plus,base_yaw,0.000000,0.000000,0.030000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p020_mpc_assisted_candidate_summary.csv
yaw_minus,base_yaw,0.000000,0.000000,-0.030000,0.000,0p000,baseline,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p000_baseline_summary.csv
yaw_minus,base_yaw,0.000000,0.000000,-0.030000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p010_mpc_assisted_candidate_summary.csv
yaw_minus,base_yaw,0.000000,0.000000,-0.030000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p020_mpc_assisted_candidate_summary.csv
