perturbation_id,perturbation_type,perturb_vx,perturb_vy,perturb_yawrate,scale,scale_tag,control_mode,log_csv,summary_csv
nominal,none,0.000000,0.000000,0.000000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_nominal_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_nominal_0p000_baseline_summary.csv
nominal,none,0.000000,0.000000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_nominal_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_nominal_0p010_mpc_assisted_candidate_summary.csv
nominal,none,0.000000,0.000000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_nominal_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_nominal_0p020_mpc_assisted_candidate_summary.csv
vx_plus,base_vx,0.050000,0.000000,0.000000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_vx_plus_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_vx_plus_0p000_baseline_summary.csv
vx_plus,base_vx,0.050000,0.000000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vx_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vx_plus_0p010_mpc_assisted_candidate_summary.csv
vx_plus,base_vx,0.050000,0.000000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vx_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vx_plus_0p020_mpc_assisted_candidate_summary.csv
vx_minus,base_vx,-0.050000,0.000000,0.000000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_vx_minus_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_vx_minus_0p000_baseline_summary.csv
vx_minus,base_vx,-0.050000,0.000000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vx_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vx_minus_0p010_mpc_assisted_candidate_summary.csv
vx_minus,base_vx,-0.050000,0.000000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vx_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vx_minus_0p020_mpc_assisted_candidate_summary.csv
vy_plus,base_vy,0.000000,0.030000,0.000000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_vy_plus_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_vy_plus_0p000_baseline_summary.csv
vy_plus,base_vy,0.000000,0.030000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vy_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vy_plus_0p010_mpc_assisted_candidate_summary.csv
vy_plus,base_vy,0.000000,0.030000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vy_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vy_plus_0p020_mpc_assisted_candidate_summary.csv
vy_minus,base_vy,0.000000,-0.030000,0.000000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_vy_minus_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_vy_minus_0p000_baseline_summary.csv
vy_minus,base_vy,0.000000,-0.030000,0.000000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vy_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vy_minus_0p010_mpc_assisted_candidate_summary.csv
vy_minus,base_vy,0.000000,-0.030000,0.000000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_vy_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_vy_minus_0p020_mpc_assisted_candidate_summary.csv
yawrate_plus,base_yawrate,0.000000,0.000000,0.050000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_yawrate_plus_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_yawrate_plus_0p000_baseline_summary.csv
yawrate_plus,base_yawrate,0.000000,0.000000,0.050000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_yawrate_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_yawrate_plus_0p010_mpc_assisted_candidate_summary.csv
yawrate_plus,base_yawrate,0.000000,0.000000,0.050000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_yawrate_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_yawrate_plus_0p020_mpc_assisted_candidate_summary.csv
yawrate_minus,base_yawrate,0.000000,0.000000,-0.050000,0.000,0p000,baseline,results/logs_sample/stage22_2_observable_perturb_yawrate_minus_0p000_baseline_log.csv,results/logs_sample/stage22_2_observable_perturb_yawrate_minus_0p000_baseline_summary.csv
yawrate_minus,base_yawrate,0.000000,0.000000,-0.050000,0.010,0p010,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_yawrate_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_yawrate_minus_0p010_mpc_assisted_candidate_summary.csv
yawrate_minus,base_yawrate,0.000000,0.000000,-0.050000,0.020,0p020,mpc_assisted_candidate,results/logs_sample/stage22_2_observable_perturb_yawrate_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage22_2_observable_perturb_yawrate_minus_0p020_mpc_assisted_candidate_summary.csv
