trace_case_id,perturbation_id,perturbation_type,perturb_vx,perturb_vy,perturb_yawrate,scale,scale_tag,control_mode,phase,trace_step_index,time,dt_from_previous_trace,qpos_size,qvel_size,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,base_x,base_y,base_z,base_vx_fd,base_vy_fd,base_vz_fd
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,before_injection,-3,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_injection,-2,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_forward,-1,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,1,0.002,0.002,19,18,-3.3242067268411596e-05,4.2775943183567436e-07,0.2848894663922349,0.9999999777745335,-1.2252669504508444e-06,0.00020842953623398757,-3.172632208764672e-05,-0.0166210336342058,0.00021387971591783718,0.04180995446592762,-0.0012252669595282208,0.20842953777813544,-0.03172632232269082,-3.3242067268411596e-05,4.2775943183567436e-07,0.2848894663922349,-0.0166210336342058,0.00021387971591783718,-80.05526680388256
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,2,0.004,0.002,19,18,-2.4887552139652745e-05,-9.85172088954106e-08,0.28484768856337794,0.9999999874170676,-2.449330268851665e-05,0.00015159245485395055,3.982047580477572e-05,0.004177257564379425,-0.00026313832036554247,-0.0208889144284859,-0.023281144477959537,-0.056837908083940736,0.07154187732769905,-2.4887552139652745e-05,-9.85172088954106e-08,0.28484768856337794,0.004177257564379425,-0.00026313832036554247,-0.02088891442847407
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,3,0.006,0.002,19,18,-5.480872428507825e-05,2.3816467045010485e-05,0.2848628898196625,0.9999994635543931,0.0009581415363957045,0.00039330822469528666,-1.2820403054198614e-05,-0.014960586072712754,0.011957492126952947,0.007600628142291788,0.982652587245237,0.24167804793354258,-0.052485985872971166,-5.480872428507825e-05,2.3816467045010485e-05,0.2848628898196625,-0.014960586072712752,0.011957492126952947,0.007600628142284682
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,4,0.008,0.002,19,18,-4.490076934875421e-05,5.665739149198469e-06,0.2847330039585303,0.9999999310823934,-8.392987082556676e-06,0.00037021098358223486,-2.6619427332685423e-05,0.004953977468162018,-0.009075363947906008,-0.06494293056610141,-0.9665288801607996,-0.0231230289887297,-0.014157028639544815,-4.490076934875421e-05,5.665739149198469e-06,0.2847330039585303,0.004953977468162019,-0.009075363947906008,-0.06494293056610867
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,5,0.01,0.002,19,18,-7.294940241972037e-05,4.000931633017477e-05,0.2846910636883818,0.9999991292585928,0.00118664554387345,0.000573737425599598,-6.465118815147715e-05,-0.014024316535483083,0.017171788590488152,-0.020970135074248136,1.1950473968686048,0.20355890518162276,-0.03758766417222384,-7.294940241972037e-05,4.000931633017477e-05,0.2846910636883818,-0.01402431653548308,0.017171788590488152,-0.020970135074238616
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,6,0.012,0.002,19,18,-6.126554966110205e-05,3.282268172978229e-05,0.284506870418032,0.9999997668278936,0.00044239157225496904,0.0005161837617033054,-6.47161478895957e-05,0.005841926379309161,-0.0035933173001962415,-0.09209663517490711,-0.7442503910712932,-0.05760217891661876,-0.00042362906015804697,-6.126554966110205e-05,3.282268172978229e-05,0.284506870418032,0.00584192637930916,-0.00359331730019624,-0.09209663517489863
vy_plus_0p010,vy_plus,base_vy,0.0,0.03,0.0,0.01,0p010,mpc_assisted_candidate,after_mj_step,7,0.014,0.002,19,18,-8.807623966047921e-05,7.880829004975587e-05,0.28441543820280335,0.9999980240299242,0.001861564404846125,0.0006914728878683934,-9.153938842731228e-05,-0.013405344999688582,0.02299280415998679,-0.04571610761432776,1.4191762581839105,0.17537002170650232,-0.0261683484525737,-8.807623966047921e-05,7.880829004975587e-05,0.28441543820280335,-0.013405344999688578,0.02299280415998679,-0.04571610761433531
