category,hit_count,file_count,top_files
baseline_torque_generation,2400,260,scripts/stage14_5d_r9_final_simulation_only_evidence_freeze.py; scripts/stage14_5d_r3_baseline_mode_derived_runner_dry_run.py; scripts/stage14_5d_r5_mpc_candidate_injection_design_inspection.py; scripts/stage14_5d_r8_closed_loop_ab_packaging.py; scripts/stage20_3_reproducibility_analysis.py
mpc_wbc_candidate_torque,3868,272,scripts/stage14_5d_r6_closed_loop_ab_mpc_assisted_candidate_runner.py; scripts/stage14_5d_r6_derive_mpc_assisted_candidate_runner.py; scripts/stage14_5d_r7_candidate_mode_guarded_dry_run.py; scripts/stage14_5e_r1_candidate_robustness_scale_sweep_runner.py; scripts/stage18_2_velocity_tracking_rollout_runner.py
candidate_scale_or_blending,2833,218,scripts/stage14_5e_r1_candidate_robustness_scale_sweep_runner.py; scripts/stage19_4_sync_and_freeze_scale_sweep_evidence.py; scripts/stage23_2_qvel_injection_trace_runner.py; scripts/stage13_2c_final_2400step_robustness_evidence_freeze.py; scripts/stage20_2_replay_reproducibility_runner.py
swing_leg_pd,1367,83,scripts/stage07_online_stance_pd_wbc_plus_swing_pd_sweep.py; scripts/stage07_online_stance_pd_wbc_plus_swing_pd_recommended_test.py; scripts/stage13_2_2400step_simulation_only_mixed_baseline_runner.py; scripts/stage13_2a_r2_create_2400step_derived_runner.py; scripts/stage14_5d_r2_closed_loop_ab_runner_skeleton.py
safety_filter_or_saturation,2236,192,scripts/stage10_disabled_controller_uses_safety_utilities.py; scripts/stage10_7_8_safety_utility_freeze_summary.py; scripts/stage10_clamp_watchdog_utility_without_publisher.py; scripts/stage14_5d_r6_closed_loop_ab_mpc_assisted_candidate_runner.py; scripts/stage18_2_velocity_tracking_rollout_runner.py
mujoco_torque_write_or_step,627,113,scripts/stage15_8_mujoco_torque_smoke_test.py; scripts/stage15_10_compare_mujoco_torque_smoke_policies.py; scripts/stage15_9_mujoco_jtf_candidate_injection.py; scripts/stage15_7_mujoco_candidate_compatibility_audit.py; scripts/stage15_5_model_readiness_audit.py
control_mode_or_runner_args,3463,202,scripts/stage14_5d_r5_mpc_candidate_injection_design_inspection.py; scripts/stage14_5d_r6_closed_loop_ab_mpc_assisted_candidate_runner.py; scripts/stage14_5d_r6_derive_mpc_assisted_candidate_runner.py; scripts/stage14_5d_r7_candidate_mode_guarded_dry_run.py; scripts/stage14_5d_r8_closed_loop_ab_packaging.py
qp_osqp_solve_path,2119,247,scripts/stage14_5c_mpc_force_reference_offline_qp_check.py; scripts/stage23_2_qvel_injection_trace_runner.py; scripts/stage07_full_wbc_stance_constraint_qp.py; scripts/stage14_4_base_velocity_tracking_mpc_demo.py; ros2_ws/src/robot_mpc_wbc_cpp_controller/test/test_contact_force_qp.cpp
contact_gait_state,2100,161,scripts/stage07_online_full_wbc_scheduler_recommended_run.py; scripts/stage07_online_full_wbc_with_scheduler_proto.py; scripts/stage13_2_2400step_online_full_wbc_scheduler_runner.py; scripts/stage04_gait_swing_foothold_demo.py; scripts/stage07_online_stance_pd_wbc_plus_swing_pd_recommended_test.py
state_reading_mapping,7237,297,scripts/stage10_cpp_state_cache_runtime_validation.py; scripts/stage18_2_velocity_tracking_rollout_runner.py; scripts/stage18_4_sync_and_freeze_velocity_evidence.py; scripts/stage19_2_velocity_scale_sweep_runner.py; scripts/stage21_2_local_perturbation_runner.py
pinocchio_kinematics_dynamics,522,52,scripts/stage15_4_pinocchio_jacobian_candidate_rollout.py; scripts/stage15_6_real_model_jacobian_candidate_rollout.py; scripts/stage15_9_mujoco_jtf_candidate_injection.py; scripts/stage08_runtime_interface_adapter_module_check.py; scripts/stage15_4_validate_pinocchio_jacobian_candidate_rollout.py
primary_mpc_wbc_existing_mode,0,0,
