category,path,line,snippet
candidate_scale_or_blending,build/robot_mpc_wbc_cpp_controller/CMakeFiles/3.28.3/CompilerIdCXX/CMakeCXXCompilerId.cpp,109,"# define COMPILER_ID ""PathScale"""
candidate_scale_or_blending,install/_local_setup_util_ps1.py,130,# select packages with no dependencies in alphabetical order
control_mode_or_runner_args,install/_local_setup_util_ps1.py,4,import argparse
control_mode_or_runner_args,install/_local_setup_util_ps1.py,27,parser = argparse.ArgumentParser(
control_mode_or_runner_args,install/_local_setup_util_ps1.py,30,parser.add_argument(
control_mode_or_runner_args,install/_local_setup_util_ps1.py,33,parser.add_argument(
control_mode_or_runner_args,install/_local_setup_util_ps1.py,36,parser.add_argument(
state_reading_mapping,install/_local_setup_util_ps1.py,64,Find packages based on colcon-specific files created during installation.
state_reading_mapping,install/_local_setup_util_ps1.py,201,basenames = OrderedDict()
state_reading_mapping,install/_local_setup_util_ps1.py,224,# group remaining source lines by basename
state_reading_mapping,install/_local_setup_util_ps1.py,226,if path_without_ext not in basenames:
state_reading_mapping,install/_local_setup_util_ps1.py,227,basenames[path_without_ext] = set()
state_reading_mapping,install/_local_setup_util_ps1.py,231,basenames[path_without_ext].add(ext)
state_reading_mapping,install/_local_setup_util_ps1.py,233,# add the dsv extension to each basename if the file exists
state_reading_mapping,install/_local_setup_util_ps1.py,234,"for basename, extensions in basenames.items():"
state_reading_mapping,install/_local_setup_util_ps1.py,235,if not os.path.isabs(basename):
state_reading_mapping,install/_local_setup_util_ps1.py,236,"basename = os.path.join(prefix, basename)"
state_reading_mapping,install/_local_setup_util_ps1.py,237,if os.path.exists(basename + '.dsv'):
state_reading_mapping,install/_local_setup_util_ps1.py,240,"for basename, extensions in basenames.items():"
state_reading_mapping,install/_local_setup_util_ps1.py,241,if not os.path.isabs(basename):
state_reading_mapping,install/_local_setup_util_ps1.py,242,"basename = os.path.join(prefix, basename)"
state_reading_mapping,install/_local_setup_util_ps1.py,246,"basename + '.dsv', prefix, primary_extension=primary_extension,"
state_reading_mapping,install/_local_setup_util_ps1.py,253,'script_path': basename + '.' + primary_extension})]
state_reading_mapping,install/_local_setup_util_ps1.py,259,'script_path': basename + '.' + additional_extension})]
state_reading_mapping,install/_local_setup_util_ps1.py,319,env_state = {}
state_reading_mapping,install/_local_setup_util_ps1.py,323,global env_state
state_reading_mapping,install/_local_setup_util_ps1.py,324,if name not in env_state:
state_reading_mapping,install/_local_setup_util_ps1.py,326,env_state[name] = set(os.environ[name].split(os.pathsep))
state_reading_mapping,install/_local_setup_util_ps1.py,328,env_state[name] = set()
state_reading_mapping,install/_local_setup_util_ps1.py,335,if value not in env_state[name]:
state_reading_mapping,install/_local_setup_util_ps1.py,336,env_state[name].add(value)
state_reading_mapping,install/_local_setup_util_ps1.py,345,global env_state
state_reading_mapping,install/_local_setup_util_ps1.py,346,if name not in env_state:
state_reading_mapping,install/_local_setup_util_ps1.py,348,env_state[name] = set(os.environ[name].split(os.pathsep))
state_reading_mapping,install/_local_setup_util_ps1.py,350,env_state[name] = set()
state_reading_mapping,install/_local_setup_util_ps1.py,357,if value not in env_state[name]:
state_reading_mapping,install/_local_setup_util_ps1.py,358,env_state[name].add(value)
state_reading_mapping,install/_local_setup_util_ps1.py,372,global env_state
state_reading_mapping,install/_local_setup_util_ps1.py,374,for name in env_state:
state_reading_mapping,install/_local_setup_util_ps1.py,385,global env_state
state_reading_mapping,install/_local_setup_util_ps1.py,386,env_state[name] = value
state_reading_mapping,install/_local_setup_util_ps1.py,393,global env_state
state_reading_mapping,install/_local_setup_util_ps1.py,396,"if env_state.get(name, os.environ.get(name)):"
candidate_scale_or_blending,install/_local_setup_util_sh.py,130,# select packages with no dependencies in alphabetical order
control_mode_or_runner_args,install/_local_setup_util_sh.py,4,import argparse
control_mode_or_runner_args,install/_local_setup_util_sh.py,27,parser = argparse.ArgumentParser(
control_mode_or_runner_args,install/_local_setup_util_sh.py,30,parser.add_argument(
control_mode_or_runner_args,install/_local_setup_util_sh.py,33,parser.add_argument(
control_mode_or_runner_args,install/_local_setup_util_sh.py,36,parser.add_argument(
state_reading_mapping,install/_local_setup_util_sh.py,64,Find packages based on colcon-specific files created during installation.
state_reading_mapping,install/_local_setup_util_sh.py,201,basenames = OrderedDict()
state_reading_mapping,install/_local_setup_util_sh.py,224,# group remaining source lines by basename
state_reading_mapping,install/_local_setup_util_sh.py,226,if path_without_ext not in basenames:
state_reading_mapping,install/_local_setup_util_sh.py,227,basenames[path_without_ext] = set()
state_reading_mapping,install/_local_setup_util_sh.py,231,basenames[path_without_ext].add(ext)
state_reading_mapping,install/_local_setup_util_sh.py,233,# add the dsv extension to each basename if the file exists
state_reading_mapping,install/_local_setup_util_sh.py,234,"for basename, extensions in basenames.items():"
