patch,status,detail
add_stabilized_control_mode_constant,APPLIED,add_stabilized_control_mode_constant
extend_control_mode_choices_for_stabilized,APPLIED,--control-mode choices include stabilized_primary_mpc_wbc
add_stabilized_primary_args,APPLIED,add_stabilized_primary_args
extend_mode_validation_for_stabilized,APPLIED,extend_mode_validation_for_stabilized
candidate_fetch_for_stabilized,APPLIED,candidate_fetch_for_stabilized
add_stabilized_max_metric,APPLIED,add_stabilized_max_metric
replace_torque_composition_for_stabilized,APPLIED,replace_torque_composition_for_stabilized
update_stabilized_max_metric,APPLIED,update_stabilized_max_metric
add_stabilized_abs_per_step,APPLIED,add_stabilized_abs_per_step
add_stabilized_log_columns,APPLIED,add_stabilized_log_columns
add_stabilized_summary_flags,APPLIED,add_stabilized_summary_flags
candidate_available_for_stabilized,APPLIED,candidate_available_for_stabilized
add_stabilized_summary_metric,APPLIED,add_stabilized_summary_metric
